id,contractDate,vendor,category,contractType,quantity,unitPrice,amount,periodMonths,note
1,2021-03-01,가온엘리베이터,승강기유지보수,수의계약,1,12000000,12000000,12,연간 유지보수 계약
2,2022-03-01,가온엘리베이터,승강기유지보수,수의계약,1,12500000,12500000,12,연간 유지보수 계약 갱신
3,2023-03-01,가온엘리베이터,승강기유지보수,수의계약,1,13000000,13000000,12,연간 유지보수 계약 갱신
4,2024-03-01,가온엘리베이터,승강기유지보수,수의계약,1,16500000,16500000,12,연간 유지보수 계약 갱신 (단가 급등)
5,2025-03-01,가온엘리베이터,승강기유지보수,수의계약,1,13800000,13800000,12,연간 유지보수 계약 갱신
6,2021-01-15,하늘클린,청소,수의계약,1,36000000,36000000,12,연간 청소 위탁 계약
7,2022-01-15,은하환경,청소,경쟁입찰,1,33000000,33000000,12,경쟁입찰로 업체 변경
8,2023-01-15,하늘클린,청소,수의계약,1,37000000,37000000,12,연간 청소 위탁 계약 (업체 복귀)
9,2024-01-15,하늘클린,청소,수의계약,1,38500000,38500000,12,연간 청소 위탁 계약 갱신
10,2025-01-15,하늘클린,청소,수의계약,1,39000000,39000000,12,연간 청소 위탁 계약 갱신
11,2021-04-10,푸른조경,조경,경쟁입찰,1,8000000,8000000,12,봄철 조경관리 계약
12,2022-04-10,초록마당,조경,경쟁입찰,1,7800000,7800000,12,봄철 조경관리 계약
13,2023-04-10,푸른조경,조경,경쟁입찰,1,8200000,8200000,12,봄철 조경관리 계약
14,2024-04-10,늘봄가든,조경,경쟁입찰,1,8100000,8100000,12,봄철 조경관리 계약
15,2025-04-10,초록마당,조경,경쟁입찰,1,8300000,8300000,12,봄철 조경관리 계약
16,2021-05-20,대한소방안전,소방시설점검,수의계약,1,4500000,4500000,12,연간 소방시설 점검
17,2022-05-20,대한소방안전,소방시설점검,수의계약,1,4600000,4600000,12,연간 소방시설 점검
18,2023-05-20,대한소방안전,소방시설점검,수의계약,1,4700000,4700000,12,연간 소방시설 점검
19,2024-05-20,대한소방안전,소방시설점검,수의계약,1,7200000,7200000,12,연간 소방시설 점검 (견적 급등)
20,2025-05-20,대한소방안전,소방시설점검,수의계약,1,4800000,4800000,12,연간 소방시설 점검
21,2021-02-01,세이프가드,보안,경쟁입찰,1,29000000,29000000,12,연간 보안경비 계약
22,2022-02-01,세이프가드,보안,경쟁입찰,1,30500000,30500000,12,연간 보안경비 계약
23,2023-02-01,세이프가드,보안,수의계약,1,29500000,29500000,12,연간 보안경비 계약
24,2024-01-05,세이프가드,보안,수의계약,1,8000000,8000000,3,1분기 보안경비 계약
25,2024-04-05,세이프가드,보안,수의계약,1,8000000,8000000,3,2분기 보안경비 계약
26,2024-07-05,세이프가드,보안,수의계약,1,8000000,8000000,3,3분기 보안경비 계약
27,2024-10-05,세이프가드,보안,수의계약,1,8100000,8100000,3,4분기 보안경비 계약
28,2025-02-01,세이프가드,보안,경쟁입찰,1,31000000,31000000,12,연간 보안경비 계약
